timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1659018060170,7433,Homepage,200,OK,Thread Group 1-1,text,true,,215024,117,10,10,https://ajkerdeal.com/,1891,0,1033
1659018060862,6923,Homepage,200,OK,Thread Group 1-9,text,true,,215024,117,10,10,https://ajkerdeal.com/,1426,0,543
1659018060264,7946,Homepage,200,OK,Thread Group 1-3,text,true,,215024,117,10,10,https://ajkerdeal.com/,2206,0,935
1659018060563,7728,Homepage,200,OK,Thread Group 1-6,text,true,,215024,117,10,10,https://ajkerdeal.com/,1034,0,527
1659018060462,7950,Homepage,200,OK,Thread Group 1-5,text,true,,215024,117,10,10,https://ajkerdeal.com/,1222,0,564
1659018060662,8455,Homepage,200,OK,Thread Group 1-7,text,true,,215024,117,10,10,https://ajkerdeal.com/,1773,0,541
1659018060960,8382,Homepage,200,OK,Thread Group 1-10,text,true,,215024,117,10,10,https://ajkerdeal.com/,4043,0,3536
1659018060170,9398,Homepage,200,OK,Thread Group 1-2,text,true,,215024,117,10,10,https://ajkerdeal.com/,2622,0,1461
1659018060761,9010,Homepage,200,OK,Thread Group 1-8,text,true,,215024,117,10,10,https://ajkerdeal.com/,2689,0,1637
1659018060363,10761,Homepage,200,OK,Thread Group 1-4,text,true,,215024,117,10,10,https://ajkerdeal.com/,1254,0,664
1659018067604,5148,Bangla to English,200,OK,Thread Group 1-1,text,true,,197136,120,10,10,https://ajkerdeal.com/en/,1469,0,0
1659018068211,5884,Bangla to English,200,OK,Thread Group 1-3,text,true,,197136,120,10,10,https://ajkerdeal.com/en/,513,0,0
1659018068412,5927,Bangla to English,200,OK,Thread Group 1-5,text,true,,197136,120,10,10,https://ajkerdeal.com/en/,489,0,0
1659018067786,6933,Bangla to English,200,OK,Thread Group 1-9,text,true,,197136,120,10,10,https://ajkerdeal.com/en/,703,0,0
1659018068291,6853,Bangla to English,200,OK,Thread Group 1-6,text,true,,197136,120,10,10,https://ajkerdeal.com/en/,1145,0,0
1659018069569,6139,Bangla to English,200,OK,Thread Group 1-2,text,true,,197136,120,10,10,https://ajkerdeal.com/en/,544,0,0
1659018074340,2072,Registration page,200,OK,Thread Group 1-5,text,true,,38644,151,10,10,https://ajkerdeal.com/customers/registersingleorder.aspx,1695,0,0
1659018074096,2764,Registration page,200,OK,Thread Group 1-3,text,true,,38644,151,10,10,https://ajkerdeal.com/customers/registersingleorder.aspx,2078,0,0
1659018072753,4722,Registration page,200,OK,Thread Group 1-1,text,true,,38644,151,10,10,https://ajkerdeal.com/customers/registersingleorder.aspx,3675,0,0
1659018069772,7827,Bangla to English,200,OK,Thread Group 1-8,text,true,,197136,120,10,10,https://ajkerdeal.com/en/,883,0,0
1659018074720,3187,Registration page,200,OK,Thread Group 1-9,text,true,,38644,151,10,10,https://ajkerdeal.com/customers/registersingleorder.aspx,2680,0,0
1659018071124,6867,Bangla to English,200,OK,Thread Group 1-4,text,true,,197136,120,10,10,https://ajkerdeal.com/en/,1050,0,0
1659018069118,9059,Bangla to English,200,OK,Thread Group 1-7,text,true,,197136,120,10,10,https://ajkerdeal.com/en/,672,0,0
1659018075708,2579,Registration page,200,OK,Thread Group 1-2,text,true,,38644,151,10,10,https://ajkerdeal.com/customers/registersingleorder.aspx,1731,0,0
1659018075145,3501,Registration page,200,OK,Thread Group 1-6,text,true,,38644,151,10,10,https://ajkerdeal.com/customers/registersingleorder.aspx,2845,0,0
1659018069343,10399,Bangla to English,200,OK,Thread Group 1-10,text,true,,197136,120,10,10,https://ajkerdeal.com/en/,672,0,0
1659018078178,2041,Registration page,200,OK,Thread Group 1-7,text,true,,38644,151,10,10,https://ajkerdeal.com/customers/registersingleorder.aspx,1747,0,0
1659018077991,2243,Registration page,200,OK,Thread Group 1-4,text,true,,38644,151,10,10,https://ajkerdeal.com/customers/registersingleorder.aspx,1869,0,0
1659018077599,3324,Registration page,200,OK,Thread Group 1-8,text,true,,38644,151,10,10,https://ajkerdeal.com/customers/registersingleorder.aspx,2831,0,0
1659018079743,2366,Registration page,200,OK,Thread Group 1-10,text,true,,38644,151,10,10,https://ajkerdeal.com/customers/registersingleorder.aspx,1864,0,0
1659018076413,8759,After Login,200,OK,Thread Group 1-5,text,true,,215525,260,10,10,https://www.ajkerdeal.com/,165,0,0
1659018076413,165,After Login-0,302,Found,Thread Group 1-5,text,true,,501,139,10,10,https://ajkerdeal.com/customers/default.aspx,165,0,0
1659018076579,8593,After Login-1,200,OK,Thread Group 1-5,text,true,,215024,121,10,10,https://www.ajkerdeal.com/,3476,0,2601
1659018077907,7491,After Login,200,OK,Thread Group 1-9,text,true,,215525,260,10,10,https://www.ajkerdeal.com/,171,0,0
1659018077907,171,After Login-0,302,Found,Thread Group 1-9,text,true,,501,139,10,10,https://ajkerdeal.com/customers/default.aspx,171,0,0
1659018078078,7320,After Login-1,200,OK,Thread Group 1-9,text,true,,215024,121,10,10,https://www.ajkerdeal.com/,1760,0,1097
1659018078287,7291,After Login,200,OK,Thread Group 1-2,text,true,,215525,260,10,10,https://www.ajkerdeal.com/,1017,0,0
1659018078287,1017,After Login-0,302,Found,Thread Group 1-2,text,true,,501,139,10,10,https://ajkerdeal.com/customers/default.aspx,1017,0,0
1659018079304,6274,After Login-1,200,OK,Thread Group 1-2,text,true,,215024,121,10,10,https://www.ajkerdeal.com/,1183,0,523
1659018076860,9079,After Login,200,OK,Thread Group 1-3,text,true,,215525,260,10,10,https://www.ajkerdeal.com/,179,0,0
